t,Mercury_x,Mercury_y,Venus_x,Venus_y,Earth_x,Earth_y,Mars_x,Mars_y,Jupiter_x,Jupiter_y,Saturn_x,Saturn_y,Uranus_x,Uranus_y,Neptune_x,Neptune_y
1,57.7517,4.13875,108.158,3.02976,149.578,2.57686,227.89,2.08786,778.599,1.12959,1434,0.832347,2871,0.58825,4495,0.470126
2,57.3087,8.25064,108.03,6.05295,149.511,5.14939,227.862,4.17264,778.597,2.25761,1434,1.66354,2871,1.17569,4495,0.939599
3,56.5734,12.3204,107.819,9.07141,149.401,7.7204,227.814,6.25708,778.593,3.38563,1434,2.49473,2871,1.76312,4495,1.40907
4,55.5494,16.3274,107.523,12.0828,149.246,10.2891,227.747,8.34099,778.587,4.51364,1434,3.32592,2871,2.35055,4495,1.87855
5,54.242,20.251,107.143,15.0847,149.047,12.8548,227.661,10.4242,778.58,5.64164,1433.99,4.15711,2871,2.93799,4495,2.34802
6,52.6579,24.0713,106.679,18.0748,148.803,15.4167,227.557,12.5065,778.571,6.76963,1433.99,4.9883,2871,3.52542,4495,2.81749
7,50.8051,27.7688,106.132,21.0508,148.516,17.974,227.433,14.5878,778.56,7.89761,1433.99,5.81949,2871,4.11286,4495,3.28697
8,48.693,31.3246,105.502,24.0103,148.185,20.526,227.29,16.6679,778.548,9.02557,1433.98,6.65067,2871,4.70029,4495,3.75644
9,46.3326,34.7206,104.789,26.951,147.81,23.0719,227.128,18.7466,778.534,10.1535,1433.98,7.48185,2871,5.28772,4495,4.22591
10,43.7357,37.9394,103.995,29.8707,147.391,25.611,226.947,20.8237,778.518,11.2814,1433.98,8.31303,2870.99,5.87516,4495,4.69539
11,40.9157,40.9646,103.119,32.767,146.929,28.1425,226.747,22.8991,778.501,12.4093,1433.97,9.14421,2870.99,6.46259,4495,5.16486
12,37.8869,43.7809,102.162,35.6377,146.423,30.6657,226.528,24.9725,778.482,13.5372,1433.97,9.97538,2870.99,7.05002,4495,5.63434
13,34.6648,46.3737,101.126,38.4805,145.874,33.1798,226.29,27.0439,778.462,14.665,1433.96,10.8066,2870.99,7.63746,4495,6.10381
14,31.2658,48.7299,100.01,41.2932,145.282,35.6841,226.033,29.113,778.44,15.7928,1433.95,11.6377,2870.99,8.22489,4495,6.57328
15,27.7073,50.8375,98.8163,44.0736,144.646,38.1778,225.757,31.1796,778.416,16.9206,1433.95,12.4689,2870.99,8.81232,4494.99,7.04275
16,24.0074,52.6857,97.5452,46.8195,143.968,40.6602,225.462,33.2437,778.391,18.0484,1433.94,13.3,2870.98,9.39975,4494.99,7.51223
17,20.185,54.265,96.1979,49.5288,143.247,43.1307,225.149,35.305,778.364,19.1761,1433.93,14.1312,2870.98,9.98718,4494.99,7.9817
18,16.2597,55.5674,94.7753,52.1994,142.484,45.5883,224.817,37.3633,778.335,20.3037,1433.92,14.9623,2870.98,10.5746,4494.99,8.45117
19,12.2513,56.5864,93.2786,54.8292,141.679,48.0325,224.465,39.4185,778.305,21.4313,1433.91,15.7935,2870.98,11.162,4494.99,8.92065
20,8.18049,57.3165,91.709,57.4161,140.832,50.4624,224.095,41.4704,778.273,22.5589,1433.9,16.6246,2870.98,11.7495,4494.99,9.39012
21,4.0679,57.7543,90.0676,59.9581,139.943,52.8774,223.707,43.5188,778.24,23.6864,1433.89,17.4558,2870.97,12.3369,4494.99,9.85959
22,-0.0654336,57.8973,88.3558,62.4531,139.013,55.2768,223.299,45.5635,778.205,24.8139,1433.88,18.2869,2870.97,12.9243,4494.99,10.3291
23,-4.19843,57.7449,86.5749,64.8994,138.041,57.6598,222.873,47.6045,778.168,25.9414,1433.87,19.118,2870.97,13.5118,4494.99,10.7985
24,-8.31001,57.2978,84.7263,67.2949,137.029,60.0257,222.428,49.6415,778.129,27.0687,1433.86,19.9491,2870.97,14.0992,4494.99,11.268
25,-12.3792,56.5584,82.8115,69.6377,135.976,62.3739,221.965,51.6743,778.089,28.196,1433.85,20.7802,2870.96,14.6866,4494.98,11.7375
26,-16.3852,55.5304,80.8319,71.9261,134.883,64.7036,221.483,53.7028,778.048,29.3233,1433.84,21.6113,2870.96,15.274,4494.98,12.207
27,-20.3076,54.219,78.789,74.1583,133.75,67.0142,220.982,55.7268,778.005,30.4505,1433.82,22.4424,2870.96,15.8615,4494.98,12.6764
28,-24.1263,52.631,76.6846,76.3324,132.578,69.3049,220.463,57.7461,777.96,31.5776,1433.81,23.2735,2870.95,16.4489,4494.98,13.1459
29,-27.822,50.7744,74.5202,78.4469,131.366,71.5752,219.926,59.7606,777.913,32.7047,1433.8,24.1046,2870.95,17.0363,4494.98,13.6154
30,-31.3757,48.6587,72.2975,80.5,130.115,73.8243,219.37,61.7701,777.865,33.8317,1433.78,24.9357,2870.95,17.6237,4494.98,14.0848
31,-34.7693,46.2947,70.0182,82.4901,128.826,76.0515,218.796,63.7745,777.815,34.9586,1433.77,25.7667,2870.94,18.2112,4494.98,14.5543
32,-37.9855,43.6946,67.6842,84.4158,127.499,78.2562,218.203,65.7735,777.764,36.0855,1433.75,26.5978,2870.94,18.7986,4494.97,15.0238
33,-41.0078,40.8714,65.2973,86.2754,126.134,80.4377,217.593,67.7669,777.711,37.2122,1433.74,27.4288,2870.93,19.386,4494.97,15.4933
34,-43.8209,37.8398,62.8593,88.0675,124.732,82.5955,216.964,69.7548,777.656,38.3389,1433.72,28.2599,2870.93,19.9734,4494.97,15.9627
35,-46.4104,34.615,60.3722,89.7908,123.293,84.7288,216.316,71.7367,777.6,39.4655,1433.7,29.0909,2870.93,20.5609,4494.97,16.4322
36,-48.7631,31.2136,57.8378,91.4438,121.817,86.8371,215.651,73.7127,777.542,40.5921,1433.69,29.9219,2870.92,21.1483,4494.97,16.9017
37,-50.867,27.653,55.2582,93.0253,120.305,88.9196,214.968,75.6825,777.482,41.7185,1433.67,30.7529,2870.92,21.7357,4494.97,17.3711
38,-52.7113,23.9512,52.6354,94.5341,118.758,90.9758,214.267,77.646,777.421,42.8449,1433.65,31.5839,2870.91,22.3231,4494.96,17.8406
39,-54.2867,20.1272,49.9715,95.9689,117.176,93.0052,213.547,79.603,777.358,43.9712,1433.63,32.4149,2870.91,22.9105,4494.96,18.3101
40,-55.5851,16.2006,47.2684,97.3287,115.559,95.007,212.81,81.5533,777.293,45.0973,1433.61,33.2459,2870.9,23.4979,4494.96,18.7795
41,-56.5998,12.1912,44.5284,98.6124,113.907,96.9806,212.055,83.4967,777.227,46.2234,1433.59,34.0768,2870.9,24.0854,4494.96,19.249
42,-57.3257,8.11971,41.7536,99.8189,112.222,98.9256,211.283,85.4332,777.159,47.3494,1433.57,34.9078,2870.89,24.6728,4494.96,19.7185
43,-57.7592,4.00675,38.9461,100.947,110.504,100.841,210.492,87.3626,777.09,48.4753,1433.55,35.7387,2870.89,25.2602,4494.95,20.188
44,-57.8979,-0.126654,36.1082,101.997,108.753,102.727,209.684,89.2846,777.019,49.6011,1433.53,36.5697,2870.88,25.8476,4494.95,20.6574
45,-57.7412,-4.25941,33.242,102.967,106.97,104.583,208.859,91.1992,776.946,50.7268,1433.51,37.4006,2870.88,26.435,4494.95,21.1269
46,-57.2899,-8.37044,30.3499,103.856,105.155,106.407,208.016,93.1061,776.872,51.8523,1433.49,38.2315,2870.87,27.0224,4494.95,21.5964
47,-56.5462,-12.4388,27.434,104.664,103.31,108.2,207.156,95.0052,776.796,52.9778,1433.47,39.0624,2870.87,27.6098,4494.95,22.0658
48,-55.5141,-16.4436,24.4966,105.39,101.433,109.961,206.278,96.8964,776.719,54.1032,1433.44,39.8933,2870.86,28.1972,4494.94,22.5353
49,-54.1987,-20.3646,21.5401,106.034,99.5267,111.69,205.383,98.7795,776.64,55.2284,1433.42,40.7241,2870.86,28.7846,4494.94,23.0048
50,-52.6067,-24.1816,18.5667,106.595,97.5908,113.385,204.471,100.654,776.559,56.3535,1433.4,41.555,2870.85,29.372,4494.94,23.4742
